Time (s),Duration (hh:mm:ss)
00:00:00,47.25,
00:00:01,81.20,
00:00:02,53.25,
00:00:03,103.31,
00:00:04,124.36,
00:00:05,101.16,
00:00:06,106.50,
00:00:07,103.31,
00:00:08,103.31,
00:00:09,53.25,
00:00:10,82.07,
00:00:11,14.70,
00:00:12,70.43,
00:00:13,102.94,
00:00:14,106.50,
00:00:15,106.50,
00:00:16,55.70,
00:00:17,62.42,
00:00:18,65.82,
00:00:19,98.30,
00:00:20,53.25,
00:00:21,53.25,
00:00:22,65.82,
00:00:23,22.57,
00:00:24,53.25,
00:00:25,81.49,
00:00:26,53.25,
00:00:27,53.25,
00:00:28,79.69,
00:00:29,152.82,
00:00:30,152.82,
00:00:31,106.50,
00:00:32,106.50,
00:00:33,151.67,
00:00:34,152.82,
00:00:35,151.78,
00:00:36,152.82,
00:00:37,152.82,
00:00:38,103.31,
00:00:39,103.31,
00:00:40,157.72,
00:00:41,213.00,
00:00:42,195.54,
00:00:43,213.00,
00:00:44,213.00,
